string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5,string_field_6,string_field_7,string_field_8,string_field_9,string_field_10,string_field_11,string_field_12,string_field_13,string_field_14
KEY;AÑO;PERIODO;ZONA;REGION;COMUNA_INCOIN;DIRECCION;NUMERO;LONGITUD;LATITUD;TIPO DE PROPIEDAD;PROYECTO;DESARROLLADOR;VENDE;CONSTRUYE;NOMBRE TIPOLOGIA;TIPO DE COCINA;TIPO CATEGORIA;INICIO VENTAS;FECHA ENTREGA ESTIMADA;ESTADO OBRA;ESTADO PROYECTO;STOCK INICIAL;OFERTA DEL PERIODO;OFERTA DISPONIBLE;UNIDADES VENDIDAS;TIPOLOGIA;PLAZAS;PRECIO PROMEDIO;SUPERFICIE PROMEDIO;SUP TERRAZA PROMEDIO;SUPERFICIE TERRENO;UF/M² PROMEDIO;UNIDADES/MES (P);UNIDADES/MES (A);MESES PARA AGOTAR STOCK (A);PRECIO MINIMO UF;PRECIO MAXIMO UF;MESES EN VENTA;NRO. PISOS;CANT ESTACIONAMIENTOS;PRECIO ESTACIONAMIENTO;PRECIO BODEGA;PILOTO DISPONIBLE;SALA DE VENTAS EN EL PROYECTO;DESCUENTO PROMEDIO;TIPO DE SUBSIDIO,,,,,,,,,,,,,,
1P 2020 VICUÑA MACKENNA 1194;2020;1P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;julio-2022;OBRA GRUESA;EN VENTA;8;0;0;0;1D-1B;2;2.873,3;38,31;4,29;-;75,0;0,0;0,5;4;3008;3041;11,7;18;240;365;71;NO;SI;10%;SIN SUBSIDIO,,,,,
1P 2021 VICUÑA MACKENNA 1194;2021;1P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;diciembre-2022;TERMINACIONES;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,3;0;0;0;24,0;18;240;365;71;NO;SI;10%;SIN SUBSIDIO,,,,,,,
1P 2022 VICUÑA MACKENNA 1194;2022;1P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;TERMINACIONES;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,2;0;0;0;36,2;18;240;365;71;NO;SI;4%;SIN SUBSIDIO,,,,,,,
1P 2023 VICUÑA MACKENNA 1194;2023;1P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,2;0;0;0;48,2;18;240;365;71;NO;NO;4%;SIN SUBSIDIO,,,,,,,
1P 2024 VICUÑA MACKENNA 1194;2024;1P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,1;0;0;0;60,5;18;240;365;71;NO;NO;4%;SIN SUBSIDIO,,,,,,,
1P 2025 VICUÑA MACKENNA 1194;2025;1P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,1;0;0;0;72,1;18;240;365;71;NO;SI;4%;SIN SUBSIDIO,,,,,,,
2P 2019 VICUÑA MACKENNA 1194;2019;2P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;julio-2022;INSTALACION DE FAENAS;NUEVO;8;8;0;0;1D-1B;2;2.775,9;38,31;4,29;-;72,5;0,0;0,0;-;2882;2962;2,4;18;240;365;71;NO;SI;5%;SIN SUBSIDIO,,,,,
2P 2020 VICUÑA MACKENNA 1194;2020;2P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;julio-2022;OBRA GRUESA;EN VENTA;8;0;0;0;1D-1B;2;2.873,3;38,31;4,29;-;75,0;0,0;0,4;5;3008;3041;14,9;18;240;365;71;NO;SI;10%;SIN SUBSIDIO,,,,,
2P 2021 VICUÑA MACKENNA 1194;2021;2P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;diciembre-2022;TERMINACIONES;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,3;0;0;0;27,0;18;240;365;71;NO;SI;10%;SIN SUBSIDIO,,,,,,,
2P 2022 VICUÑA MACKENNA 1194;2022;2P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,2;0;0;0;39,2;18;240;365;71;NO;SI;4%;SIN SUBSIDIO,,,,,,,
